province,harvest_year,tmean_season,tmax_season,tmin_season,rain_season_sum,rad_season_mean,tmean_mam,tmax_mam,tmin_mam,rain_mam_sum,rad_mam_mean
Kayseri,2015,7.193131578947368,13.331986842105263,2.0477434210526315,481.734,15.768184210526316,7.303760869565218,13.313608695652174,1.7097608695652173,177.514,18.23239130434783
Kayseri,2016,8.209140983606558,14.80576393442623,2.6876131147540985,336.378,16.53051147540984,9.159608695652173,15.900956521739129,3.0710652173913044,142.168,19.594804347826088
Kayseri,2017,7.076151315789474,13.865671052631578,1.296328947368421,278.946,17.116059210526316,7.917978260869565,14.698086956521738,1.868326086956522,143.54,18.816260869565216
Kayseri,2018,9.143394736842106,15.742368421052632,3.6799736842105264,364.726,16.423927631578948,10.664043478260869,17.254717391304347,4.717304347826087,135.078,19.55858695652174
Kayseri,2019,7.7233947368421045,13.820440789473684,2.546796052631579,433.334,16.224967105263158,7.923043478260869,14.117804347826086,2.410804347826087,100.71,19.22563043478261
Kayseri,2020,8.245691803278689,14.670688524590165,2.7138754098360653,389.7,16.495731147540983,8.234760869565218,14.585847826086956,2.2098695652173914,141.41,19.070152173913044
Kayseri,2021,8.60116447368421,15.549473684210525,2.894315789473684,301.314,17.00420394736842,8.56391304347826,15.50363043478261,2.3483695652173915,112.91799999999999,19.315956521739132
Kayseri,2022,7.002473684210526,13.688723684210528,1.335453947368421,359.2,16.385578947368423,6.621260869565217,13.015478260869566,0.613,131.64600000000002,18.734652173913044
Kayseri,2023,8.211157894736843,14.86503947368421,2.7574802631578947,369.866,16.011302631578946,8.581239130434783,14.937282608695652,2.7956739130434785,182.41400000000002,17.73991304347826
Kayseri,2024,10.086452459016392,16.713252459016395,4.537022950819672,366.448,16.2444131147541,9.83804347826087,16.272760869565218,3.9848043478260875,162.002,18.429478260869566
Kilis,2005,13.248342105263157,19.939934210526314,7.558355263157894,443.096,17.39071710526316,13.777304347826087,20.481739130434782,7.5499782608695645,115.606,21.30808695652174
Kilis,2006,13.426532894736843,20.22840789473684,7.734506578947368,438.346,17.17309210526316,14.348826086956523,21.05963043478261,8.329739130434783,110.622,20.758130434782608
Kilis,2007,13.40900657894737,20.402578947368422,7.497914473684211,396.104,17.227263157894736,13.768304347826087,20.624521739130433,7.487239130434783,112.564,19.867152173913045
Kilis,2008,13.910931147540984,21.081022950819673,7.8826950819672135,311.832,17.917777049180327,15.453978260869565,22.834434782608696,8.928847826086956,67.468,21.47308695652174
Kilis,2009,13.484796052631578,20.153644736842104,7.838782894736841,358.42,16.955157894736843,13.357304347826087,20.03932608695652,7.252130434782609,106.67,20.798891304347826
Kilis,2010,14.599249999999998,21.06121052631579,9.114269736842104,465.578,16.77115789473684,14.604065217391305,21.461021739130434,8.390847826086956,90.44800000000001,20.932
Kilis,2011,14.074171052631579,20.928440789473683,8.28941447368421,421.994,17.170907894736843,12.93654347826087,19.280304347826085,7.150282608695653,173.68,20.20971739130435
Kilis,2012,12.480990163934427,19.040767213114755,6.8476459016393445,585.556,17.400767213114754,12.760021739130435,19.11445652173913,6.953304347826086,96.348,21.040282608695655
Kilis,2013,13.968578947368423,20.117118421052634,8.686092105263159,726.4159999999999,17.038901315789474,14.135195652173914,20.25286956521739,8.426652173913043,199.796,20.63771739130435
Kilis,2014,14.031934210526314,21.37688815789474,8.050947368421053,270.01,17.840631578947367,15.180326086956521,22.69567391304348,8.69791304347826,117.81,21.53628260869565
Kilis,2015,13.107782894736843,19.396901315789474,7.753684210526315,625.506,16.859592105263157,13.017630434782609,19.046760869565215,7.385326086956522,166.376,20.90139130434783
Kilis,2016,14.555409836065573,21.63294426229508,8.55248524590164,324.18399999999997,17.734045901639345,15.189021739130435,22.461717391304347,8.63763043478261,90.44,21.54317391304348
Kilis,2017,13.23120394736842,20.259559210526316,7.2086250000000005,387.68399999999997,17.885434210526316,13.719239130434783,20.511260869565216,7.504043478260869,157.0,20.83741304347826
