province_norm,harvest_year,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm
IZMIR,2013,15.439973684210528,21.087539473684206,10.358217105263158,783.8300000000002,16.178039473684212,7.495642157443251,35.7332,-0.2845999999999999,57.0,17.0,219.0,788,14.91821739130435,20.448108695652174,9.687000000000001,187.464,19.781869565217388,4.959861655785309,28.8459,0.9927999999999998,1.0,3.0,67.0
IZMIR,2014,14.835651315789475,21.024440789473687,9.504769736842105,470.446,16.21903289473684,6.95062247872192,35.733,-0.4629,50.0,20.0,234.0,789,14.723086956521739,20.625826086956526,9.298239130434782,173.77800000000002,19.118021739130437,4.2845556366260995,29.4619,1.6963,4.0,2.0,67.0
IZMIR,2015,14.274151315789473,19.86263157894737,9.269565789473683,804.084,15.84303947368421,7.545102916675994,35.96249999999999,-1.0761,43.0,24.0,205.0,790,13.43,18.9825,8.133434782608695,182.85799999999995,19.835782608695652,5.040860863161989,28.472900000000006,0.33659999999999995,3.0,4.0,62.0
IZMIR,2016,15.545468852459015,21.7935737704918,10.161816393442624,552.856,16.872701639344264,7.842231465704843,38.1756,-0.5539999999999999,55.0,19.0,244.0,791,15.127652173913043,21.06995652173913,9.661152173913043,154.834,20.06613043478261,4.163757153813043,27.674400000000002,2.2875,2.0,0.0,69.0
IZMIR,2017,14.283921052631579,20.44864473684211,8.977302631578947,543.8100000000001,16.464559210526318,8.621469323768276,37.283300000000004,-2.9268,58.0,49.0,239.0,792,14.481347826086958,20.236847826086954,9.050782608695654,148.028,19.75363043478261,4.275176722611086,26.9238,2.9798,2.0,1.0,65.0
IZMIR,2018,15.982815789473683,21.760282894736843,10.80428947368421,601.3700000000001,16.15746052631579,7.20840274020288,35.35519999999999,0.6132,59.0,11.0,213.0,793,17.15586956521739,22.998630434782616,11.708543478260868,78.09400000000002,19.936521739130434,4.771729069474726,31.9386,5.4098,11.0,0.0,69.0
IZMIR,2019,14.684473684210525,20.415486842105267,9.607184210526315,781.8119999999999,16.05916447368421,7.64494398371608,35.962299999999985,-0.19239999999999988,52.0,16.0,214.0,794,13.98145652173913,19.728739130434782,8.668695652173913,124.604,20.148521739130434,4.768666467389991,29.3595,1.2807,4.0,1.0,75.0
IZMIR,2020,15.391796721311474,21.61254426229508,9.969619672131147,518.3779999999999,16.5323737704918,7.845455036825949,37.659200000000006,-0.912,59.0,23.0,229.0,795,14.82854347826087,21.1275,9.0595,147.422,19.849695652173914,5.355712670306359,36.0516,1.0206,8.0,4.0,63.0
IZMIR,2021,15.31867763157895,21.398256578947368,10.017092105263158,605.6479999999999,16.45938157894737,7.80104699252376,36.799099999999996,-0.8051,55.0,24.0,229.0,796,13.97608695652174,20.014478260869566,8.296782608695652,132.58599999999998,19.957239130434782,5.852495047248631,29.706700000000005,-0.7791,5.0,8.0,72.0
IZMIR,2022,14.523394736842105,20.55461842105263,9.139914473684211,574.0640000000001,16.459598684210526,8.385142589110108,36.1001,-2.5011,66.0,45.0,234.0,797,13.350043478260872,19.503521739130434,7.654826086956522,85.258,20.350108695652175,7.145889103184568,32.355500000000006,-2.6043,8.0,16.0,78.0
